# r1_0,r1_1,r2_0,r2_1,y1_0,y1_1,y2_0,y2_1
-1.814100000000000046e+00,3.497299999999999714e-02,1.135799999999999921e+00,-7.337799999999999878e-01,-4.028599999999999959e+00,-5.208300000000000152e-01,-2.891099999999999781e+00,9.314999999999999947e-01
3.497299999999999714e-02,-1.807900000000000063e+00,-7.337799999999999878e-01,1.131400000000000045e-01,-5.208300000000000152e-01,-1.001800000000000024e+00,9.314999999999999947e-01,-2.506899999999999906e+00
-1.807900000000000063e+00,1.028200000000000003e+00,1.131400000000000045e-01,3.830299999999999816e-01,-1.001800000000000024e+00,-4.443300000000000027e-01,-2.506899999999999906e+00,3.872700000000000031e-01
1.028200000000000003e+00,3.946000000000000063e-01,3.830299999999999816e-01,4.710199999999999942e-01,-4.443300000000000027e-01,2.156400000000000095e+00,3.872700000000000031e-01,6.017099999999999671e-01
3.946000000000000063e-01,6.394100000000000339e-01,4.710199999999999942e-01,2.435500000000000220e+00,2.156400000000000095e+00,-1.049599999999999977e-01,6.017099999999999671e-01,7.146700000000000275e-01
6.394100000000000339e-01,8.742100000000000426e-01,2.435500000000000220e+00,1.175599999999999978e+00,-1.049599999999999977e-01,2.763700000000000045e+00,7.146700000000000275e-01,2.855700000000000127e+00
8.742100000000000426e-01,1.752399999999999958e+00,1.175599999999999978e+00,6.616900000000000004e-01,2.763700000000000045e+00,3.163699999999999846e-01,2.855700000000000127e+00,1.085399999999999920e+00
1.752399999999999958e+00,-3.200500000000000012e-01,6.616900000000000004e-01,1.543299999999999894e+00,3.163699999999999846e-01,9.476900000000000324e-01,1.085399999999999920e+00,1.382700000000000040e+00
-3.200500000000000012e-01,-1.374100000000000044e-01,1.543299999999999894e+00,-7.119100000000000428e-01,9.476900000000000324e-01,-6.002300000000000413e-01,1.382700000000000040e+00,7.665300000000000447e-01
-1.374100000000000044e-01,6.157700000000000395e-01,-7.119100000000000428e-01,-5.273799999999999599e-01,-6.002300000000000413e-01,-1.005400000000000071e+00,7.665300000000000447e-01,-9.192900000000000515e-01
6.157700000000000395e-01,9.778900000000000370e-01,-5.273799999999999599e-01,-2.419999999999999929e-01,-1.005400000000000071e+00,-3.159199999999999786e-01,-9.192900000000000515e-01,4.994600000000000151e-01
9.778900000000000370e-01,-1.115299999999999958e+00,-2.419999999999999929e-01,-3.131999999999999784e-01,-3.159199999999999786e-01,-7.911200000000000454e-01,4.994600000000000151e-01,-5.859600000000000364e-01
-1.115299999999999958e+00,-5.500199999999999534e-01,-3.131999999999999784e-01,6.944299999999999917e-01,-7.911200000000000454e-01,-1.959200000000000053e+00,-5.859600000000000364e-01,-1.104899999999999993e+00
-5.500199999999999534e-01,3.988499999999999684e-02,6.944299999999999917e-01,-1.923599999999999977e+00,-1.959200000000000053e+00,1.023200000000000109e+00,-1.104899999999999993e+00,5.676499999999999879e-01
3.988499999999999684e-02,-2.482800000000000118e+00,-1.923599999999999977e+00,1.054899999999999949e+00,1.023200000000000109e+00,-2.013799999999999812e+00,5.676499999999999879e-01,-3.152699999999999836e+00
-2.482800000000000118e+00,1.158700000000000063e+00,1.054899999999999949e+00,-3.988900000000000223e-01,-2.013799999999999812e+00,9.088899999999999757e-01,-3.152699999999999836e+00,1.512499999999999956e+00
1.158700000000000063e+00,-1.026299999999999990e+00,-3.988900000000000223e-01,-9.827199999999999824e-02,9.088899999999999757e-01,1.659100000000000019e+00,1.512499999999999956e+00,-9.402599999999999847e-01
-1.026299999999999990e+00,1.153499999999999970e+00,-9.827199999999999824e-02,-8.813900000000000068e-01,1.659100000000000019e+00,-5.566200000000000037e-01,-9.402599999999999847e-01,5.371700000000000363e-01
1.153499999999999970e+00,-7.864600000000000479e-01,-8.813900000000000068e-01,-8.872400000000000286e-01,-5.566200000000000037e-01,1.042999999999999927e+00,5.371700000000000363e-01,-5.749400000000000066e-01
-7.864600000000000479e-01,6.348099999999999854e-01,-8.872400000000000286e-01,7.650799999999999823e-01,1.042999999999999927e+00,-1.947799999999999976e+00,-5.749400000000000066e-01,-6.578699999999999548e-01
6.348099999999999854e-01,8.204099999999999726e-01,7.650799999999999823e-01,-4.377400000000000180e-01,-1.947799999999999976e+00,2.070199999999999818e+00,-6.578699999999999548e-01,1.617599999999999927e+00
8.204099999999999726e-01,-1.760299999999999920e-01,-4.377400000000000180e-01,-1.116700000000000026e+00,2.070199999999999818e+00,-1.327800000000000091e+00,1.617599999999999927e+00,-8.667399999999999549e-01
-1.760299999999999920e-01,5.624700000000000255e-01,-1.116700000000000026e+00,-8.502800000000000358e-01,-1.327800000000000091e+00,-1.387799999999999923e+00,-8.667399999999999549e-01,-5.949799999999999534e-01
5.624700000000000255e-01,-1.274399999999999977e-01,-8.502800000000000358e-01,4.085699999999999887e-01,-1.387799999999999923e+00,-9.007300000000000306e-01,-5.949799999999999534e-01,-6.142100000000000337e-01
-1.274399999999999977e-01,5.541700000000000514e-01,4.085699999999999887e-01,-1.337900000000000089e+00,-9.007300000000000306e-01,-5.598800000000000443e-01,-6.142100000000000337e-01,3.997299999999999742e-01
5.541700000000000514e-01,-1.097299999999999942e+00,-1.337900000000000089e+00,1.580900000000000083e-01,-5.598800000000000443e-01,-1.606800000000000006e+00,3.997299999999999742e-01,-1.952199999999999935e+00
-1.097299999999999942e+00,-7.312999999999999501e-01,1.580900000000000083e-01,3.612600000000000255e-01,-1.606800000000000006e+00,-7.908399999999999874e-01,-1.952199999999999935e+00,-7.435700000000000642e-02
-7.312999999999999501e-01,1.404700000000000060e+00,3.612600000000000255e-01,-4.725900000000000101e-01,-7.908399999999999874e-01,3.620099999999999985e-01,-7.435700000000000642e-02,1.259900000000000082e-02
1.404700000000000060e+00,-6.202100000000000390e-01,-4.725900000000000101e-01,5.421399999999999553e-01,3.620099999999999985e-01,6.594100000000000517e-01,1.259900000000000082e-02,7.409599999999999694e-03
-6.202100000000000390e-01,2.371499999999999997e-01,5.421399999999999553e-01,-7.295599999999999863e-01,6.594100000000000517e-01,-6.673400000000000443e-01,7.409599999999999694e-03,2.509000000000000119e-01
2.371499999999999997e-01,-1.586799999999999988e+00,-7.295599999999999863e-01,1.147799999999999931e+00,-6.673400000000000443e-01,-1.911499999999999866e-01,2.509000000000000119e-01,-1.268799999999999928e+00
-1.586799999999999988e+00,-4.014800000000000035e-01,1.147799999999999931e+00,-1.773899999999999921e-01,-1.911499999999999866e-01,3.406899999999999928e-01,-1.268799999999999928e+00,7.355800000000000116e-01
-4.014800000000000035e-01,-7.706899999999999862e-01,-1.773899999999999921e-01,1.117099999999999982e+00,3.406899999999999928e-01,8.506799999999999917e-01,7.355800000000000116e-01,-9.735599999999999810e-01
-7.706899999999999862e-01,-2.626800000000000246e-01,1.117099999999999982e+00,-3.718199999999999839e-01,8.506799999999999917e-01,1.807600000000000096e+00,-9.735599999999999810e-01,1.416500000000000092e+00
-2.626800000000000246e-01,9.764899999999999691e-01,-3.718199999999999839e-01,3.287900000000000267e-01,1.807600000000000096e+00,5.657299999999999551e-01,1.416500000000000092e+00,-5.000999999999999890e-01
9.764899999999999691e-01,9.778200000000000225e-01,3.287900000000000267e-01,1.586799999999999988e+00,5.657299999999999551e-01,2.024599999999999955e+00,-5.000999999999999890e-01,1.975500000000000034e+00
9.778200000000000225e-01,1.169999999999999929e+00,1.586799999999999988e+00,-1.450900000000000079e+00,2.024599999999999955e+00,1.345599999999999907e+00,1.975500000000000034e+00,1.886300000000000088e+00
1.169999999999999929e+00,1.593100000000000072e-01,-1.450900000000000079e+00,1.028100000000000014e+00,1.345599999999999907e+00,-1.709899999999999975e+00,1.886300000000000088e+00,-1.253900000000000015e+00
1.593100000000000072e-01,4.995200000000000196e-01,1.028100000000000014e+00,-1.205799999999999983e+00,-1.709899999999999975e+00,4.306300000000000128e-01,-1.253900000000000015e+00,1.969899999999999984e+00
4.995200000000000196e-01,-1.055399999999999894e+00,-1.205799999999999983e+00,-1.881299999999999972e+00,4.306300000000000128e-01,-2.346799999999999997e+00,1.969899999999999984e+00,-2.494099999999999984e+00
-1.055399999999999894e+00,-4.507399999999999740e-01,-1.881299999999999972e+00,8.620100000000000540e-01,-2.346799999999999997e+00,-2.587899999999999867e+00,-2.494099999999999984e+00,-1.595399999999999929e+00
-4.507399999999999740e-01,1.270399999999999974e+00,8.620100000000000540e-01,-2.690799999999999859e-01,-2.587899999999999867e+00,1.044799999999999951e+00,-1.595399999999999929e+00,1.154800000000000049e+00
1.270399999999999974e+00,8.986899999999999888e-01,-2.690799999999999859e-01,-4.883600000000000163e-01,1.044799999999999951e+00,-2.171200000000000074e-01,1.154800000000000049e+00,-2.401899999999999868e-01
8.986899999999999888e-01,4.387099999999999889e-01,-4.883600000000000163e-01,3.896100000000000257e-02,-2.171200000000000074e-01,-9.039599999999999858e-01,-2.401899999999999868e-01,1.469799999999999995e-01
4.387099999999999889e-01,-1.247300000000000075e+00,3.896100000000000257e-02,1.841099999999999959e+00,-9.039599999999999858e-01,-9.518699999999999939e-01,1.469799999999999995e-01,-5.145399999999999974e-01
-1.247300000000000075e+00,3.246700000000000141e-01,1.841099999999999959e+00,5.331399999999999473e-01,-9.518699999999999939e-01,2.886799999999999922e-01,-5.145399999999999974e-01,1.132500000000000062e+00
3.246700000000000141e-01,3.900699999999999723e-01,5.331399999999999473e-01,-1.256999999999999895e+00,2.886799999999999922e-01,9.155299999999999550e-01,1.132500000000000062e+00,8.601599999999999524e-02
3.900699999999999723e-01,-4.051400000000000001e-01,-1.256999999999999895e+00,-1.288999999999999924e+00,9.155299999999999550e-01,-1.239999999999999991e+00,8.601599999999999524e-02,-1.082300000000000040e+00
-4.051400000000000001e-01,2.923100000000000143e-01,-1.288999999999999924e+00,-1.080300000000000038e+00,-1.239999999999999991e+00,-1.342200000000000060e+00,-1.082300000000000040e+00,-9.332700000000000440e-01
2.923100000000000143e-01,2.565900000000000070e+00,-1.080300000000000038e+00,1.322699999999999987e+00,-1.342200000000000060e+00,-8.011300000000000088e-01,-9.332700000000000440e-01,5.650399999999999867e-02
2.565900000000000070e+00,-4.578200000000000047e-01,1.322699999999999987e+00,-8.370400000000000063e-01,-8.011300000000000088e-01,1.838200000000000056e+00,5.650399999999999867e-02,2.170599999999999863e+00
-4.578200000000000047e-01,-1.610800000000000010e+00,-8.370400000000000063e-01,-5.722500000000000364e-01,1.838200000000000056e+00,-4.173399999999999999e+00,2.170599999999999863e+00,-2.951700000000000212e+00
-1.610800000000000010e+00,-2.669500000000000206e+00,-5.722500000000000364e-01,6.567299999999999527e-02,-4.173399999999999999e+00,-6.843399999999999483e-01,-2.951700000000000212e+00,-1.186500000000000110e+00
-2.669500000000000206e+00,-7.597000000000000419e-01,6.567299999999999527e-02,6.412700000000000344e-02,-6.843399999999999483e-01,-7.788000000000000478e-01,-1.186500000000000110e+00,-1.624200000000000088e+00
-7.597000000000000419e-01,-6.747199999999999864e-01,6.412700000000000344e-02,5.449500000000000455e-01,-7.788000000000000478e-01,2.416100000000000136e+00,-1.624200000000000088e+00,1.146900000000000003e-01
-6.747199999999999864e-01,-1.171699999999999964e+00,5.449500000000000455e-01,-2.713599999999999901e-01,2.416100000000000136e+00,1.538599999999999968e+00,1.146900000000000003e-01,1.758499999999999994e-02
-1.171699999999999964e+00,2.032900000000000151e+00,-2.713599999999999901e-01,-1.137900000000000023e-01,1.538599999999999968e+00,1.116600000000000037e+00,1.758499999999999994e-02,3.304599999999999760e-01
2.032900000000000151e+00,9.684800000000000075e-01,-1.137900000000000023e-01,-2.279700000000000060e-01,1.116600000000000037e+00,2.865200000000000191e+00,3.304599999999999760e-01,1.800799999999999956e+00
9.684800000000000075e-01,6.702900000000000524e-01,-2.279700000000000060e-01,-1.116999999999999993e+00,2.865200000000000191e+00,-9.224999999999999867e-01,1.800799999999999956e+00,1.995099999999999929e-01
6.702900000000000524e-01,4.201500000000000234e-01,-1.116999999999999993e+00,-1.694399999999999906e+00,-9.224999999999999867e-01,-1.093299999999999939e+00,1.995099999999999929e-01,-4.071600000000000219e-01
4.201500000000000234e-01,-2.872799999999999798e+00,-1.694399999999999906e+00,1.732199999999999962e+00,-1.093299999999999939e+00,-2.519800000000000040e+00,-4.071600000000000219e-01,-2.321800000000000086e+00
