# r1_0,r1_1,r1_2,r1_3,r1_4,r2_0,r2_1,r2_2,r2_3,r2_4,y1_0,y1_1,y1_2,y1_3,y1_4,y2_0,y2_1,y2_2,y2_3,y2_4
-1.830900000000000027e-01,8.461200000000000665e-02,2.050899999999999945e-01,-1.057500000000000107e+00,1.921899999999999942e+00,-1.830900000000000027e-01,8.461200000000000665e-02,2.050899999999999945e-01,-1.057500000000000107e+00,1.921899999999999942e+00,1.368900000000000006e+00,-1.285800000000000054e+00,6.534999999999999698e-01,-2.217999999999999972e-01,-1.534399999999999986e+00,1.209699999999999998e+00,-9.208100000000000174e-01,6.706299999999999484e-01,-4.394500000000000073e-01,-7.948800000000000310e-01
8.461200000000000665e-02,2.050899999999999945e-01,-1.057500000000000107e+00,1.921899999999999942e+00,2.426000000000000031e-02,8.461200000000000665e-02,2.050899999999999945e-01,-1.057500000000000107e+00,1.921899999999999942e+00,2.426000000000000031e-02,-1.285800000000000054e+00,6.534999999999999698e-01,-2.217999999999999972e-01,-1.534399999999999986e+00,3.780800000000000161e+00,-9.208100000000000174e-01,6.706299999999999484e-01,-4.394500000000000073e-01,-7.948800000000000310e-01,3.254500000000000171e+00
2.050899999999999945e-01,-1.057500000000000107e+00,1.921899999999999942e+00,2.426000000000000031e-02,1.000399999999999956e+00,2.050899999999999945e-01,-1.057500000000000107e+00,1.921899999999999942e+00,2.426000000000000031e-02,1.000399999999999956e+00,6.534999999999999698e-01,-2.217999999999999972e-01,-1.534399999999999986e+00,3.780800000000000161e+00,-2.508999999999999897e+00,6.706299999999999484e-01,-4.394500000000000073e-01,-7.948800000000000310e-01,3.254500000000000171e+00,-1.220699999999999896e+00
-1.057500000000000107e+00,1.921899999999999942e+00,2.426000000000000031e-02,1.000399999999999956e+00,-1.345599999999999907e+00,-1.057500000000000107e+00,1.921899999999999942e+00,2.426000000000000031e-02,1.000399999999999956e+00,-1.345599999999999907e+00,-2.217999999999999972e-01,-1.534399999999999986e+00,3.780800000000000161e+00,-2.508999999999999897e+00,2.169999999999999929e+00,-4.394500000000000073e-01,-7.948800000000000310e-01,3.254500000000000171e+00,-1.220699999999999896e+00,1.881299999999999972e+00
1.921899999999999942e+00,2.426000000000000031e-02,1.000399999999999956e+00,-1.345599999999999907e+00,-1.201100000000000056e+00,1.921899999999999942e+00,2.426000000000000031e-02,1.000399999999999956e+00,-1.345599999999999907e+00,-1.201100000000000056e+00,-1.534399999999999986e+00,3.780800000000000161e+00,-2.508999999999999897e+00,2.169999999999999929e+00,-3.975699999999999790e+00,-7.948800000000000310e-01,3.254500000000000171e+00,-1.220699999999999896e+00,1.881299999999999972e+00,-3.493599999999999817e+00
2.426000000000000031e-02,1.000399999999999956e+00,-1.345599999999999907e+00,-1.201100000000000056e+00,2.450299999999999923e+00,2.426000000000000031e-02,1.000399999999999956e+00,-1.345599999999999907e+00,-1.201100000000000056e+00,2.450299999999999923e+00,3.780800000000000161e+00,-2.508999999999999897e+00,2.169999999999999929e+00,-3.975699999999999790e+00,2.862100000000000199e-01,3.254500000000000171e+00,-1.220699999999999896e+00,1.881299999999999972e+00,-3.493599999999999817e+00,5.565200000000000147e-01
1.000399999999999956e+00,-1.345599999999999907e+00,-1.201100000000000056e+00,2.450299999999999923e+00,8.258600000000000385e-01,1.000399999999999956e+00,-1.345599999999999907e+00,-1.201100000000000056e+00,2.450299999999999923e+00,8.258600000000000385e-01,-2.508999999999999897e+00,2.169999999999999929e+00,-3.975699999999999790e+00,2.862100000000000199e-01,3.738199999999999967e+00,-1.220699999999999896e+00,1.881299999999999972e+00,-3.493599999999999817e+00,5.565200000000000147e-01,3.391700000000000159e+00
-1.345599999999999907e+00,-1.201100000000000056e+00,2.450299999999999923e+00,8.258600000000000385e-01,-2.118799999999999795e+00,-1.345599999999999907e+00,-1.201100000000000056e+00,2.450299999999999923e+00,8.258600000000000385e-01,-2.118799999999999795e+00,2.169999999999999929e+00,-3.975699999999999790e+00,2.862100000000000199e-01,3.738199999999999967e+00,-1.355799999999999894e+00,1.881299999999999972e+00,-3.493599999999999817e+00,5.565200000000000147e-01,3.391700000000000159e+00,-9.542199999999999571e-01
-1.201100000000000056e+00,2.450299999999999923e+00,8.258600000000000385e-01,-2.118799999999999795e+00,1.174000000000000044e-01,-1.201100000000000056e+00,2.450299999999999923e+00,8.258600000000000385e-01,-2.118799999999999795e+00,1.174000000000000044e-01,-3.975699999999999790e+00,2.862100000000000199e-01,3.738199999999999967e+00,-1.355799999999999894e+00,-3.177299999999999791e+00,-3.493599999999999817e+00,5.565200000000000147e-01,3.391700000000000159e+00,-9.542199999999999571e-01,-2.536200000000000010e+00
2.450299999999999923e+00,8.258600000000000385e-01,-2.118799999999999795e+00,1.174000000000000044e-01,3.859799999999999898e-01,2.450299999999999923e+00,8.258600000000000385e-01,-2.118799999999999795e+00,1.174000000000000044e-01,3.859799999999999898e-01,2.862100000000000199e-01,3.738199999999999967e+00,-1.355799999999999894e+00,-3.177299999999999791e+00,1.901699999999999946e+00,5.565200000000000147e-01,3.391700000000000159e+00,-9.542199999999999571e-01,-2.536200000000000010e+00,1.294200000000000017e+00
